category,sub-category,crimeaditionalinfo
Online Financial Fraud,EWallet Related Fraud,"name subesingh
mno 

paytm no 
bank ac no sbi ifsc sbin

add gav dabri tes bhadra dist hanumangarh pincode  ps bsirani

FRAUD BY PAYTM 
a reference no  date  time pm
b reference no  date  time pm

total fraud 
fraud no 

suchna karta ne btaya hai ki jankaar ban kar fraud kiya gaya"
Any Other Cyber Crime,Other,The app name is Cash Advance Loan app They are calling and harassing me and giving threats and are telling that they will call my contacts and defame me I feel like suicide and they are continuously abusing me They took a lot of interest from me and now they are asking for more Please help me asap They will call me tomorrow as well
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH GOOGLE PAY 
BANK ICICI BANK 
ACCOUNT NUMBER
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION

The fraud person called me from phone number  and also sent me RS in starting to confirm that I am recieving money from  on google pay UPI ID  paytm  transaction id  "
Online Financial Fraud,UPI Related Frauds,online froud     
Online Financial Fraud,UPI Related Frauds,Y incident mere saath kal huaa mere saath fraud huaa hai mujhe kal mere saath  rs ka fraud huaa hai or mujhe maarne ki dhmki bhi di gayi hai please help me i want to return my amount mere paytm se multiple payments huii hai help me
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,fraud transaction
Any Other Cyber Crime,Other,A fraud call by mobile number  came and applicants account is deducted  rs and bank didnt send any sms about the deductionafter  day applicant check his bank account and he came to know about the fraud
Any Other Cyber Crime,Other,online fraud of  kindly help me
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Mere saath dhoka hua hai please meri help karo   mujhe bahut pareshan kiya ja raha hai mere contact list pe call ja raha hai meri badnami ki ja rahi hai gali di ja rahi hai dhamki di ja rahi hai agar bhavishya main mere adhaar card or pan card ka galat use hota hai to uska jimedaar mai nahi hunga
Any Other Cyber Crime,Other,"They send a massage in group of CSC VLE WITH DINESH TYAGI GROUP  i am contact her in whatsapp chat After they said to pay same money for secutity deposit Date of  i have complete first payment of  and second payment  amout is   complete of this process they want to time for verify center in few days but no any person responce In date of  they said for macine buy payment amount of   i have complete this payment after that no any responce from that person this is a scam I am attach all chat and payment ditales 
Thank you"
Online Financial Fraud,UPI Related Frauds,"Hello sir
They have suggest me by contact me in whatsapp
After that they force me to top up  in dotgold app on playstore
After that they instructed to invest in various time and make profit money 
Profit money was credited but my initial investment  is lost or frozen
Help me to get my  back"
Online and Social Media Related Crime,Cheating by Impersonation,"I have  already lodged this complain on  as against acknowledgement no  and still we are waiting for the resolution
I have visited many time at PNB branch at Preet Vihar and also attaching all document as submitted to branch and nearest  police station
Kindly provide me the resolution for the same
I have lost my Money
that account is still running and having balance with ICICI bank
kindly direct to branch after due verification for transfer back my funds"
Online Financial Fraud,Internet Banking Related Fraud,"Identity theft   Smishing SMS Fraud  CreditDebit Cards Fraud  KYC updation
 victimn ki kyc update ani oka message vaste andulo unna link click chesi dantlo log in iyye details anni enter chesi otp kuda enter chesaru then victimn ac lo nunchi amount loss iyyaru
 debit card no"
Any Other Cyber Crime,Other,"Matter has been reported to MP State Cyber Cell on   Prior to this it was also reported to DSP Cyber Distt Bhopal on  It has been registered as Crime No  dated  by MP State Cyber Cell wherein it is being investigated by Sub Inspector JS Dhakad  Copy of the above complaint to State Cyber and the relevant Bank statements is attached
It is requested that the culprits  criminals have all India presence and their Head Office is in NOIDA Due to this a Central team should probe and arrest the criminals who have looted hundreds of common people Their contact nos which are still operational as they have least fear from lawenforcing agencies are as under
 Rahul Sharma Fin Manager  main person  
 Bhoomi Singh Sales Exec Whatsapp 
 Accts Team  Whatsapp also
 Kavya Sales Girl  Whatsapp also

Kindly investigate and bring the culprits to the book so that justice can be done to me from whom they have extracted Rs  Lakhs Thanks"
Online Financial Fraud,EWallet Related Fraud,I received a call saying they are from lic office and they have a maturity maount of rs  from my father and they want to send it to me as policy had my name They asked me to open phonepe and accept the mony request for rs After i accepted money request i received  in my account They showed it to me again And rd time i got money request for rs  rd time that money was deducted from my account and i never got back my money
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,Im akshta shelar The person create an Instagram Id and texted my brother that me having a personal relationship which is absolutely fake  I tried to close that fake id names shivn aad then that person create another Instagram Id names shabad and says Ill tell ur brother and family that u have a relationship and u tried to block me  Imso scared please sir or madam helps me Im in msc part  and I wanna study peacefully bt this fake guy tries to interfere in my personal space
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"I have a taken a instant loan already paid but still Harrasing my relatives and family members and sending my pancard and aadhar card sex pics to all pf my family members the recovery agent abousing a words 

Company name is rupee pro and cashbean please help us"
Online and Social Media Related Crime,FakeImpersonating Profile,Actucally this account is in the name of my father and he messaged me that he needed urgent help of  and he even messaged to some of my relatives and asked for money plz report it an take action my father is very well known  person in my area and its matter of prestige
Online Financial Fraud,EWallet Related Fraud,"my investment was at phonepe on th Dec the total amount was rs  and i withdrew rs  on th Dec the next day i got the final amount 
so my rs  was got fraud 
Kindly help me 
Regards
Sameer "
Online Financial Fraud,UPI Related Frauds,"

 FRAUD THROUGHUPI PHONE PE 
 
 BANKState Bank of India	
 	  
 ACCOUNT NO		 

 TOTAL AMOUNT			
 
 PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT   AND TAKE NECESSARY ACTION"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"
FRAUD THROUGH DEBIT CARD DEBIT CARD
BANK STATE BANK OF INDIA 
ACCOUNT NUMBER 
TOTAL AMOUNT 			 				
	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,EWallet Related Fraud,"name sunil kumar
add palot no subham vihar purani choungi agra road
dist jaipur
ps kanota
pin code 
Email sunilparewagmailcom 
bank ac no pnb bank ifsc punb
phone pay no 
suchna karta ne bataya ki inke no par ek no  se call aaya aur inka loding tempo book karne ke naam par paise jama kara liye h 
suchna karta ne paise ek phone pay no par jama karaye h
  rupaye  pm t utr 
  rupaye  pm t utr 
  rupaye  pm t utr 
total amount  rupaye"
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  OLX
victim saw a bike add in OLX and contacted that seller who said himself as an army person and said the victim to send money as advance for bike RC etc then victim sent Rs  and later as he asked for more money victim found it might be a fraud  
"
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Facebook
Victim have seen Add of Cows for sale on Facebook and contacted that person He asked the victim to send the amount in advance and later was not responding and victim found it was a fraud and lost Rs   
"
Online Financial Fraud,Internet Banking Related Fraud,"FRAUD THROUGH Internet Banking Related Fraud	
 BANK  	State Bank of India
 ACCOUNT NUMBER    
TOTAL AMOUNT 
 PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online Gambling  Betting,Online Gambling  Betting,He asked me with my booking details to pay advance as some offers are going on and i paid than he blockwd my contact and not recieving my calls and when i asked hotel for my vooking confirmation they denied
Online Financial Fraud,UPI Related Frauds,"Cyber Stalking   Sextortion    PhoneSMSVOIP Calls

Victim got a friend request from  face book from unknown  profile  their victim accepted the friend request  fraudster trapes the victim with his words  later he got nude call from the whatsup both are went into nude call fraudster recorded the video  of the victim  and blackmailing  and demanding the money and blackmailing for posting the video  on social media    in this fraud total  losses by the victim"
Online Financial Fraud,EWallet Related Fraud,sir mujhe ek call aaya  aur mujhe laga ki mere office ke bande ka call  hai Aur usne mujhe  bola ki me tere phone pe me  bhej  raha hun aur tujhe ek  OTP  aayega aur ye pese me tujhe kal de dunga But  jab  mene  usko  OTP  Diya  to mere  baar   Kat gaye mujhe jo call aayi hai vo ye  no tha call aaya tha 
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH UPI FRAUD PHONE PE 
BANK PRATHMA BANK 
ACCOUNT NUMBER 
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,UPI Related Frauds,"simply i was scrolling reels suddenly i got a reel instagram the iphone  used price is rs so texted him and he shared his upi id actually im not in trust to do payment he trying to prove the all things the account name is oldizgold he have some mobil numnbers which he use to make public fool called                                                            
               
               the above numbers having an whts uu account  which he use those accounts for fraud 
             i actually complaint doe in cyber crime but
           the dint given good response"
Online Financial Fraud,UPI Related Frauds,"name satay narayan 
mobile no 

PHONEPAY NO 
BANK ACCOUNT NO  hdfc bank ifsc code HDFC

address visnu colony bramer pin code  ps sadar barmer


FRAUD BY PHONEPAY
 rupey transcation id T UTR NO  DATE  TIME PM

TOTAL AMOUNT  RUPEY 


FRAUD NO   

suchana karta ke pass call aaya samana kharidne ke liye QR code beja jis par click karne par phonepay se fruad ho gaya "
Online Financial Fraud,Internet Banking Related Fraud,Sir mera sbi ka credit card block ho gaya tha to mene google par sbi credit card help line no Search kiya to jisne froud kiya uska no  mila to me samza ki ye no Sbi credit card helpline no He fir mene usko mera credit card block hatane ko kaha fir wo phone disconnect ho gaya fir usne muze uske dusare no  Se call kiya fir Sir usne muze play store se any desk app store karwaya Sir mera net banking ka ID password hack kar ke mere account se  rupay usne apne account me dal liye sir please help me
Sexually Explicit Act,Sexually Explicit Act,I am taking loan from koko loan app   amount the payment date is came and executive was calling me for payment remainder and he give the upi details also I do that the payment of     but he told payment was not done once agin u pay and told extra charges to pay for late payment but o have transtion id and bank statement  he is arrsing in whats app and he tock in local language in worest words  and blackmailing me what I can do please help me sir
Online Financial Fraud,Internet Banking Related Fraud,"FRAUD THROUGH  Internet Banking	
BANK  	STATE BANK OF INDIA 									
ACCOUNT NUMBER   
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,UPI Related Frauds,"Fraud
Complaint Brief Description 	Ek bande ki call ayi usne ek link pe click krwake paise nikal liye phonepay se
Complaint Type 	Refund money"
Online Financial Fraud,EWallet Related Fraud,Shopping fraud made by Malaviya Nirav I have ordered one dress with this person on th feb till that product was not delivered please and he is not responding me properly now please refund my money and take action for this issue this type of frauds are increasing day by day so please help us
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"DistTonk
PsMaalpura
Pincode
adddhanota ganv me  govtschool ke pass me se 
Email idbherurockgmailcom
Suchana karta ke Indusland Credit Card no
Frouder ke no
Froud ka Total Amount
Froud Date
 Froud byCredit card  suchana karta ke pass me call aaya or kha ki bank se bol rahe h or sarve ke liye call kiya h or ek link send kiya jise pese kte 

amount           pm rrn
amount        pm rrn
amount    pm rrn"
Online Financial Fraud,EWallet Related Fraud,Sir mene inse emi pr kuch pese liye the mene due date pr payment kiya pr payment excess hogaya mere se abhi me refund k oliye bol rha hu to ye aanakani kr rhe hai please sir mere paise wapas krba dijiye
Online Financial Fraud,UPI Related Frauds,Fraud Transaction
Any Other Cyber Crime,Other,Someone tried to download my adhar card on govt site i got OTP for that I had dispute with my partner please check from which IP address is used to download my Adar card no  on  at  pm
Cyber Terrorism,Cyber Terrorism,"I have been receiving threats from Mr Anant Singhal along with his mother resident of Vasant Kunj Phone number  He has been abusing me over phone and across various Text messaging apps from last couple of months Apparently he has a problem that I am Muslim and should not be a part of this country I am attaching some of the screenshots of verbal abuse that he sends me almost everyday He also calls me repeatedly at odd hours wanting to talk to me On once or twice occasions I have spoken to him he was extremely abusive towards me my family and slurred slogans against my religion It is extremely stressful to go through such abuse every other day

Thank You"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,                                                                                                                                                                                                                                          
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,I was not aware of this transaction so please help us out because we got to know about this transaction when the representative from Yes Bank called about the payment of the same so we raised a complaint there also but they suggested that we must file the same complaint in Cybersecurity too
Any Other Cyber Crime,Other,"I got the call from a cell number   for the activation of my newly arrived ICICI bank credit card That person didnt ask any card details and has activated the card immediately we got the sms with Userid and he asked for the Userid i shared the Userid and immediately after that  INR transaction happened on housing dotcom I scolded him that you are swiping my card illegal and money has been deducted from the credit card After that I got the ICICI system generated call They wanted to confirm the geneunity of the transaction
 i pressed  to dispute the transaction to avoid the transaction confirmation ICICI Bank is now saying that transaction has already happened i dont want bank to bill me for this transaction as it is the fraud transaction"
Online and Social Media Related Crime,Profile Hacking Identity Theft, ko me live streame kar rha tha us time mujhhe facebook se otp aane lge koi froud person meri id login karne lga or otp nhi milne ke bawjood meri id hack ho chuki he or ab meri id se kisi or ne gmail change kar liya he or me meri id login nhi kar pa rha hu
Child Pornography CPChild Sexual Abuse Material CSAM,Child Pornography CPChild Sexual Abuse Material CSAM,The link in the website claim to share the explicit content involving underaged girls in WhatsApp group and the link is shared in the website Kindly remove the contents from the group and report the group to be removed
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"Hello sir some one created to many fake Instagram account and use my name my home and in his bio he gives my friend mobile number and abusing so many person and due to this my friend getting to many calls all accounts created by one person
Instagram id are
hdhdhhhdhdz
 jfjuccucffj
 guddu
 anandkishor
 mohityadev
Sir i am so depressed due to this I have lots of faith in the government please take action"
Online Financial Fraud,UPI Related Frauds,An instagram page Globalstuff asked me to send rs for a device He provide me a paytm no And said me toh send  to this no After sending rs He blocked me from whatsapp and instagram and Switchoff his number
Online Financial Fraud,UPI Related Frauds,Today I recived  a call from  
Any Other Cyber Crime,Other,"I ordered of  jackets and pay   I received payment information by payuin Next day I checked order confirmation from seller but did not find Latter on internet I found that this is fraud site and I am one of the victims of the site
I request to stop this fraud and refund my money if possible but the fraudulent must be punished"
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Sexually Obscene material,Sexually Obscene material,girl name naina singh giving paid shows on cam after taking money from people she refuse to give shows i hv attateced her  picture and her tango profile link in the screenshot taking money and showing nude shows
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,This is to inform you that unwanted transaction of rs  occured from my account noat pm on so pls return my money on top most priority and resume my all bank services of my account
Online Financial Fraud,Fraud CallVishing,"Respected sirMam 

I have received a call regarding employment as a Data entry part time operator  Where the concerned person is harassing and asking to send Money for the work I have submitted  quoting unsatisfactory  

He and She employees of so called data entry job providers are intentionally persuading to send money in hustle and scaring of agreement quoting for legal proceedings"
Online Financial Fraud,Internet Banking Related Fraud,"I have attached my bank account details from which money was transfered and bank details of gencorp Inc into whos money was paid I have attached main main screen shots from whatsapp chat  
Amit singh  is the person who should me the car standing in Ghitori work shop of genxcorp
Rahul Ahuja 
Tarundeep kharbanda is the owner 
this person keep on delaying the process and have finally blocked my number he dont want to talk nor want to deliver car or refund money 
Please register this report and help me as soon as possible"
Online Financial Fraud,UPI Related Frauds,"I paid Rs  online on January  but did not receive the receipt

Your ac no  is debited for Rs on and credited to ac no  UPI Ref no  services of IDBI Bank

A message like above came and Rs  has been deducted from my account but no receipt has been received"
Online Financial Fraud,Fraud CallVishing,taken a Personal loan from the company and without giving any sanction letter they provide loan Amount after that pays loan EMI amount to them but company agent demanded extra EMI amount from me And now my was haking and harassment now please help me
Online Gambling  Betting,Online Gambling  Betting,Website and App wwwoobicyclecom Fraudulent so called company scaming people in the name of Lime Electric Scooter Huge number of people and Huge amount of cash IN and OUT flow I am also a victim I lost  Many people lost more then  lakh PLEASE please check the domain name and the banking details Lots of people lost lots of money
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Dear Sir I received a call on  at  pm from  regarding the blocking of my credit card No to stop unwanted charges on my SBI Prime Credit Card VISA I received a message for a  Balance Transfer on EMI of  for  months with an EMI of    later confirmation of blocking my credit card on the same day Later on  I got a message that an amount of  is debited from my credit card on  Accordingly I called customer care on  but the call was not connected hence again complaint was registered on  vide SRN  to report an unauthorised transaction and I was assured that it will be resolved  the transaction will be reversed by an SBI credit card representative Further I got a payment bouncing message of  on  Again I called SBI credit card customer care on  vide SRN  and they gave me a due date of  for resolution Since they did not resolve the issue I am filing this complaint with the cybercrime portal now
Online Financial Fraud,UPI Related Frauds,Sir I make Payment for Prohibition Department bihar Apply Application The Upi Payment request Is Enable and I made Payment by HDFC bank Application my Money deducted but payment successful but application Payment is not Done 
Hacking  Damage to computercomputer system etc,Email Hacking,he have hacked my gmail account and  pesa share trading account and he is forcing me to marry with me and he is like a physho now and i am married and now it is really disturbing us please help me to get out this situation
Online Financial Fraud,Fraud CallVishing,sir y men first m bolta hai ki aapki shop pr ATM lag jayega first aapko  deposit krwane padege after then y contuine paiso ki demand krne lag gya dhree dhree inhone hmse  deposit krwa liye ab y men monday   ko  ki demand kr reha hai  please help me sir
Online Financial Fraud,UPI Related Frauds,I posted an ad on olx and the fraud person texted me that he will purchase the cabinet but I was trapped by the person he sent me a link by which my account got debited with Rs  The person told me that he is going to purchase my pc cabinet but he is fraud
Online Financial Fraud,Internet Banking Related Fraud,"I received an email from my boss Jangoo Dalal stating that a couple of payments need to be done to two vendors

 In the email the person sounded like Mr Dalal so I went ahead with it Now my colleagues received the same email so that is when I got to know that it is fraudulent"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI PHONE PE 
BANK  	HDFC BANK 
			
ACCOUNT NUMBER  
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION

Please get this money refunded"
Any Other Cyber Crime,Other,"I have placed an order for a phone on VLE Bazaar website httpsvlebazaarin but since they were not dispatching the item for long time i had to cancel my order on th Dec  They never send any intimation through mail or sms about the refund and when i call up they use to give different dates It has been more than  days and still my refund is not processed There are many complaints against this websitecompany on internet and looks like they are fraudcheating people 
Please investigate their business and help many people like me who are being harassed by this fraud company"
Online Financial Fraud,UPI Related Frauds,"Hello Sir 
I met one girl on a dating app We exchanged numbers She shared a fake pic for her to lure me into her trap She then shared her location and her deal for paid fun She was daily asking me to come for service After  days I went to that location She asked me to pay the agreed amount in advance even before meeting her so that she will share her exact apartment number and location So i paid k as agreed and another k as security deposit After the payment she blocked my number and deleted all the messages which she sent to be on a safer side 
after payment i got a upi id of bharatpe which had a phone number I called on that number from a different mobile number of mine and she spoke Hearing my voice she immediately cut the call and blocked my number
I made a mistake of choosing this path and trusting some unknown person blindly 
I sincerely regret my action
I request in you to please help me by retrieving the money I transferred to her 
Even if I am not able to get back full amount I want such people to be nabbed and taught a lesson 
Please do the needful If left she will cheat another person with more amount"
Online Financial Fraud,UPI Related Frauds,I have got message from phonepe that I have got scratch card and clean the scratch card the amt will be credited in your bank of rs I have done that bit the amt was through my bank acct linked to phonepe
Any Other Cyber Crime,Other, I suspect this two number holder can taken my photo video and shared to other people This two member are came to my home and take my photo without my permission one women and other person is men
Cyber Attack/ Dependent Crimes,Tampering with computer source documents,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the fact that I was constantly getting logged out of my accounts. Honestly, it’s such a mess, and I don’t even know where to start. I’ve contacted support, but they keep giving me the runaround. The more I tried to fix it, the more problems came up. My work account was recived, and then I got locked out of everything. I don’t think I’ve ever felt this violated before. My privacy is completely shattered, and I can’t do anything to make it stop. Even my phone isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,Internet Banking Related Fraud,"naammadan 
addgaavreni ssb cump 
psreni 
pin code 
distalwar 

email id nhi hai 
 
suchana karta ke pass jis no se call aya 
frued bydebit card any desk app donlode karva kar 
suchana karta ka bankbank of baroda rajatshn gramin bank  account no 
suchana karta ka debit card no
 date timepm "
Online Financial Fraud,UPI Related Frauds,"

FRAUD THROUGH  PAY TM 



BANK  PAY TM PAYMENTS BANK 



ACCOUNT NO

TOTAL AMOUNT 



PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND 
TAKE NECESSARY ACTION 


"
Online Financial Fraud,UPI Related Frauds,FINANCIAL FRUAD 
Online Financial Fraud,EWallet Related Fraud,"name Monu yadav
phone no
addGaav palaba  tahmandawar
Dist Alwar
ps Shahjanpur
pin code
emailmonuyadavgmailcom 

froud by phonpay
phonpay no
Bank SBI bank Ac no   IFSCSBIN

	Trans detail
  Tran id T   Date   Time pm UTR 
    Tran id T   Date   Time pm UTR

	Total amount 
Frouder no  
suchna karta bta rha hai ki mera friend ban kr mare sath froud kr diya"
Online Financial Fraud,UPI Related Frauds,I have been scammed by lucky rupee app The interest rate was shown incorrect when I applied I received half the amount and I had to pay within  days The guy started blackmailing me so I paid Now again they are asking me money and blackmailing me Their contact numbers also I have  and  I am not sure but I guess they are in Karnataka
Online Financial Fraud,Internet Banking Related Fraud,Caller said that some one is called to the caller about the phone pay offer he losted the amount of rs 
Cyber Attack/ Dependent Crimes,Ransomware Attack,"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didn’t look like the usual ones I receive from the app. It looked a bit off. It’s hard to explain, but it felt like someone was inside my account, doing things while I wasn’t even online. The more I tried to fix it, the more problems came up. My bank account was unathorised, and then I got locked out of everything. The worst part is, I don’t even know who to trust anymore. Friends, family, everyone’s acting strange. It’s affecting my relationships and my mental health. Even my phone isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,I was lost my hdfc debit card and some one was used my debit card by wifi swiping in sri raja rajeswari petrol pump at Hyderabad for Rs and that amount was debited from my account on this  so kindly do the needful thing And just i blocked my card also Thank you
Online Financial Fraud,UPI Related Frauds,He said that i give you the no of satta king to ein money and say transfer to money and said that this is booking charge He promised to me for giving the satta jodi no to help me in win money and i trust on that person So i send him  rs via phonepe app his payment no is 
Online Financial Fraud,UPI Related Frauds,Fraud deduction from my account on the name of DHANI LOAN INSTALLMENTS 
Any Other Cyber Crime,Other,Phonepe se se fraud   total rupaya froude hua hai froud mobile number     hai Ye mera account no  ifsc code punb hai Jisse paisa liya gaya hai Phone pe se
Sexually Explicit Act,Sexually Explicit Act,"I would like to inform that I am Bharat Bhusan Das My daughter Ms Pooja Rani Das of age  is having an instagram ID  Someone created a fake account with id and posted pornographic content editing with my daughters original posted video So please locate this user account by the help of Instagram Team and take strong legal action against the user who has done this

I am facing this issue from nd Jan  on wards After requesting that user he has deleted the content on rd Jan  but again on th posted four videos So intentionally trying to defame us 

Please take this seriously and immediately locate the impersonated account holder as soon as possible as its a matter of defamation and case of a minor girl

I have suspect on two mobile numbers  and  as I got call from these numbers on th Jan  and scolded me in abusive language threatening me to create problem to my daughter  

This case reported at Balasore Cyber cell on th Jan  but till now the case is not registered citing reason as First they will get the data from Instagram then they will register the case and take action within  hours of the case registration So till now I did not  get the FIR acceptance copy

here I have attached all the document  Please verify the nudity and sexual and pornographic video and abusive language


Thanking You
Bharat Bhusan Das
Raghunathpur Ganja
Soro Balasore
Odisha
"
Online and Social Media Related Crime,FakeImpersonating Profile,Wrong message disturb and giving warning to harm And fake call fake message unknown number distrub at night
Online Financial Fraud,Internet Banking Related Fraud,"Citizen Details
Name varsha goyal  Dist karoli  PS PHOOTACOT  PinCode   EmailId varshagoyalgmailcom   Citizen Mobile No   Bank NameSBI BANK  Account no   IFSC CODE SBIN  Total Froud Amount   Date  FEB 

Froud By any desk application download karva kar paise transfer PAID BY BANK ACCOUNT

Transaction Details
suchnakrta ke pass transaction id nhi hai
Time pm  Amount 


Froders Details
Contact No  
"
Online Financial Fraud,UPI Related Frauds,GOOGLE AGENT CAME IN MY OFFICE AND ADD HIS ACCOUNT NUMBER AND PAN CARD NUMBERCTQPPH IN MY GOOGLE BUSINESS ACCOUNTIF ANYONE SEND ME A MONEY IN MY ACCOUNT  GOOGLE BUSINESS ADD THIS MONEY IN  THAT ACCOUNT I HAVE ALREADY COMPLAINT IN A GOOGLE OFFICECOMPLAINT NUMBER 
Online and Social Media Related Crime,FakeImpersonating Profile,About misusing my personal photos and family photos abused Giving mental harassment with all related circles Want to know who is the fake Facebook id created Suspects said there is no intention on money Only its a revenge
Any Other Cyber Crime,Other,"Details of fraud party
Last  digits of account number
Bank YES Bank
Phone number 
Total Amount Loss Rs 
	sir mujhe loan ki need thi mene online apply kiya tha ek application ke through  Upgrade Online Loan App  usme un logo ne mujhse phle hi payment kraya around k or mujhe loan provide nhi kraya sir pls meri help kijiye mera amount recover kra dijiye"
Online Financial Fraud,UPI Related Frauds,This guy says he owns a liquor shop in Chandigarh and will deliver liquor at home and charges money and never sends anything and then says billing issues and charges more money saying youll just get a refund And they run this loop and keep looting you
Online Financial Fraud,UPI Related Frauds,Fraud Call
Cyber Attack/ Dependent Crimes,Hacking/Defacement,"The issue actually started when I got this email, which at first glance seemed like spam. I usually ignore such things, but for some reason, I opened it this time. Afterward, my phone started freezing, and it wasn’t normal. I thought it was a technical glitch, but now I’m not so sure. Looking back, maybe I should have paid more attention to the little details, but now it's too late. My accounts are compromised. The more I tried to fix it, the more problems came up. My work account was unathorised, and then I got locked out of everything. I don’t think I’ve ever felt this violated before. My privacy is completely shattered, and I can’t do anything to make it stop. Even my laptop isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online and Social Media Related Crime,Cheating by Impersonation,"Sir

Mera Naam RAGHVENDRA SINGH hai aur Unnao District ka rehne wala hu
Main ne  January  ko ek website TheOceanin ke naam se Facebook aur Google news aap pe kuch chairs ka add dekha
Mujhe laga agar Facebook aur Google pe jo website hogi woh secure website hogi
Uspe kuch official chairs ki pics thi jo dekhne me achi lag rahi thi aur rates bhi theek the to main ne ek chair waha se apne office ke liye order kar diya
Uske baad delivery ka mail aaya ki  se  din ke beech me mera order pahuch jayega but  din baad woh website hi domain se gayab ho gayi
Maine uske baad apni mail se unke call center pe phone kar ne ka prayas kiya but woh phone regular switch off hai

Har din nayi website show hoti hai aur contact no Bhi hote hai but yeh sirf logo se paise leke link delete kar dete hai"
Online Financial Fraud,Fraud CallVishing,Received call from  asking for transfer money via Phone Pay  he was pretending that he knows me  i did not trf money nd asked him about the place where he belongs   I have recording also
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,ICICI Credit card  
Online Financial Fraud,UPI Related Frauds,"Dear sir
        Please stop the fraudulent transaction and refund the amount in source account
 Regards 

"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"UNAUTHORIZED ATM TRANSACTION
"
